,WT,A5,A10
0,0.0013498381062335611,0.0012587049021083308,0.002483109739813284
1,2.821205045182684e-05,9.577102516041646e-05,0.00012500781298831177
2,1.9531419543572426e-05,0.00010945260018333311,0.00017614737284716659
3,2.821205045182684e-05,9.577102516041646e-05,0.00023296910602367194
4,3.2552365905954044e-05,0.0003146762255270827,9.091477308240856e-05
5,1.9531419543572426e-05,0.00030099465050416606,0.00012500781298831177
6,1.3020946362381618e-05,0.00030099465050416606,0.00011932563967066123
7,3.906283908714485e-05,0.0004241288257104158,0.00010227911971770962
8,4.5573312268335666e-05,0.0011355707269020809,0.00014205433294126336
9,7.37853627201625e-05,0.0028594491797895773,0.00030115518583547835
10,0.0001497408831673886,0.001956465228277079,0.000818232957741677
11,0.0008094688321947239,0.00443283030742499,0.0024376523532720793
