,WT,A5,A10
0,0.5,0.1174496644295302,0.3110871905274489
1,0.0,0.006711409395973154,0.016146393972012917
2,0.0,0.003355704697986577,0.015069967707212056
3,0.5,0.0,0.015069967707212056
4,0.0,0.03691275167785235,0.00968783638320775
5,0.0,0.02348993288590604,0.008611410118406888
6,0.0,0.020134228187919462,0.0032292787944025836
7,0.0,0.010067114093959731,0.00968783638320775
8,0.0,0.020134228187919462,0.022604951560818085
9,0.0,0.02348993288590604,0.02798708288482239
10,0.0,0.03355704697986577,0.10979547900968784
11,0.0,0.06711409395973154,0.08288482238966631
12,0.0,0.02348993288590604,0.012917115177610334
13,0.0,0.02348993288590604,0.013993541442411194
14,0.0,0.02348993288590604,0.013993541442411194
15,0.0,0.020134228187919462,0.013993541442411194
16,0.0,0.02348993288590604,0.013993541442411194
17,0.0,0.02348993288590604,0.013993541442411194
18,0.0,0.020134228187919462,0.013993541442411194
19,0.0,0.02348993288590604,0.011840688912809472
20,0.0,0.020134228187919462,0.011840688912809472
21,0.0,0.02348993288590604,0.011840688912809472
22,0.0,0.020134228187919462,0.012917115177610334
23,0.0,0.020134228187919462,0.010764262648008612
24,0.0,0.013422818791946308,0.013993541442411194
25,0.0,0.016778523489932886,0.011840688912809472
26,0.0,0.02348993288590604,0.012917115177610334
27,0.0,0.02348993288590604,0.011840688912809472
28,0.0,0.02348993288590604,0.010764262648008612
29,0.0,0.010067114093959731,0.010764262648008612
30,0.0,0.013422818791946308,0.010764262648008612
31,0.0,0.02348993288590604,0.013993541442411194
32,0.0,0.020134228187919462,0.012917115177610334
33,0.0,0.020134228187919462,0.007534983853606028
34,0.0,0.013422818791946308,0.010764262648008612
35,0.0,0.006711409395973154,0.011840688912809472
36,0.0,0.016778523489932886,0.012917115177610334
37,0.0,0.020134228187919462,0.011840688912809472
38,0.0,0.020134228187919462,0.00968783638320775
39,0.0,0.006711409395973154,0.007534983853606028
40,0.0,0.006711409395973154,0.006458557588805167
41,0.0,0.013422818791946308,0.005382131324004306
42,0.0,0.013422818791946308,0.005382131324004306
43,0.0,0.013422818791946308,0.0032292787944025836
44,0.0,0.010067114093959731,0.004305705059203444
45,0.0,0.010067114093959731,0.004305705059203444
46,0.0,0.010067114093959731,0.001076426264800861
47,0.0,0.006711409395973154,0.0
48,0.0,0.010067114093959731,0.0
49,0.0,0.006711409395973154,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
