,SSII,SSII+Mn,SSIII,SSIV,MMLV,TGIRT,AMV
0,8932.0,2130.0,11474.0,38866.0,85.0,19236.0,1045.0
1,4.0,0.0,5.0,20.0,0.0,13.0,0.0
2,7.0,2.0,10.0,30.0,0.0,10.0,1.0
3,10.0,5.0,10.0,45.0,0.0,19.0,1.0
4,12.0,9.0,24.0,108.0,0.0,12.0,0.0
5,27.0,15.0,44.0,138.0,1.0,54.0,0.0
6,50.0,20.0,120.0,266.0,1.0,220.0,6.0
7,129.0,57.0,185.0,512.0,1.0,716.0,6.0
8,650.0,170.0,878.0,1964.0,9.0,1245.0,43.0
9,5103.0,863.0,5772.0,11296.0,87.0,3051.0,299.0
10,31976.0,3647.0,36347.0,80440.0,410.0,21965.0,4111.0
11,354011.0,39347.0,457756.0,1120559.0,4337.0,275358.0,23626.0
12,4235.0,2191.0,5066.0,17517.0,51.0,126342.0,1735.0
13,176.0,136.0,188.0,722.0,6.0,14898.0,102.0
14,47.0,7.0,51.0,261.0,0.0,1970.0,14.0
15,6.0,4.0,27.0,181.0,1.0,636.0,4.0
16,3.0,3.0,17.0,167.0,0.0,305.0,2.0
17,2.0,1.0,4.0,164.0,0.0,146.0,6.0
18,1.0,5.0,1.0,207.0,0.0,93.0,4.0
19,0.0,2.0,3.0,210.0,0.0,66.0,3.0
20,1.0,1.0,2.0,180.0,0.0,37.0,0.0
21,2.0,0.0,2.0,142.0,0.0,18.0,1.0
22,4.0,2.0,2.0,145.0,0.0,17.0,1.0
23,2.0,1.0,2.0,59.0,0.0,12.0,1.0
24,3.0,1.0,9.0,75.0,0.0,11.0,1.0
25,10.0,1.0,29.0,77.0,0.0,16.0,0.0
26,53.0,0.0,67.0,225.0,0.0,26.0,1.0
27,11.0,4.0,36.0,80.0,0.0,32.0,0.0
28,3.0,0.0,21.0,42.0,0.0,39.0,0.0
29,3.0,0.0,6.0,34.0,0.0,31.0,0.0
30,3.0,0.0,4.0,26.0,0.0,11.0,0.0
31,1.0,1.0,3.0,18.0,0.0,8.0,1.0
32,2.0,0.0,6.0,20.0,0.0,5.0,0.0
33,1.0,1.0,2.0,25.0,0.0,12.0,0.0
34,3.0,1.0,4.0,29.0,0.0,22.0,0.0
35,3.0,1.0,10.0,70.0,0.0,119.0,0.0
36,13.0,1.0,36.0,124.0,1.0,96.0,0.0
37,27.0,0.0,47.0,171.0,0.0,75.0,0.0
38,20.0,0.0,28.0,160.0,1.0,66.0,0.0
39,12.0,0.0,26.0,149.0,0.0,85.0,0.0
40,6.0,0.0,16.0,164.0,0.0,51.0,1.0
41,19.0,0.0,36.0,301.0,0.0,50.0,0.0
42,8.0,2.0,8.0,74.0,0.0,51.0,0.0
43,7.0,0.0,9.0,51.0,0.0,42.0,2.0
44,3.0,0.0,3.0,29.0,0.0,53.0,0.0
45,5.0,0.0,1.0,16.0,0.0,43.0,1.0
46,5.0,0.0,3.0,20.0,0.0,36.0,0.0
47,13.0,0.0,22.0,38.0,0.0,47.0,2.0
48,27.0,4.0,23.0,53.0,0.0,52.0,0.0
49,8.0,0.0,5.0,64.0,0.0,68.0,1.0
50,4.0,1.0,6.0,34.0,0.0,86.0,0.0
51,2.0,0.0,2.0,36.0,0.0,121.0,1.0
52,1.0,0.0,3.0,18.0,0.0,111.0,1.0
53,3.0,0.0,8.0,22.0,0.0,67.0,0.0
54,4.0,1.0,8.0,28.0,0.0,35.0,2.0
55,4.0,1.0,7.0,27.0,0.0,12.0,4.0
56,4.0,2.0,4.0,22.0,0.0,5.0,0.0
57,1.0,1.0,1.0,13.0,0.0,7.0,0.0
58,0.0,0.0,4.0,15.0,0.0,3.0,0.0
59,6.0,0.0,8.0,21.0,0.0,0.0,1.0
60,19.0,0.0,31.0,82.0,0.0,14.0,0.0
61,4.0,0.0,5.0,48.0,0.0,17.0,0.0
62,1.0,1.0,1.0,39.0,0.0,16.0,0.0
63,0.0,0.0,0.0,18.0,0.0,3.0,0.0
64,1.0,0.0,1.0,15.0,0.0,9.0,1.0
65,0.0,0.0,0.0,7.0,0.0,1.0,0.0
66,1.0,0.0,1.0,3.0,0.0,5.0,0.0
67,5.0,0.0,1.0,6.0,0.0,4.0,1.0
68,0.0,0.0,2.0,4.0,0.0,5.0,1.0
69,1.0,0.0,2.0,2.0,0.0,3.0,0.0
70,0.0,0.0,0.0,2.0,0.0,2.0,0.0
71,1.0,0.0,0.0,2.0,0.0,2.0,0.0
72,1.0,0.0,0.0,1.0,0.0,1.0,0.0
73,2.0,0.0,3.0,0.0,0.0,5.0,0.0
74,0.0,0.0,2.0,3.0,0.0,3.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
