,SSII,SSII+Mn,SSIII,SSIV,MMLV,TGIRT,AMV
0,17448.0,7554.0,10643.0,23555.0,15615.0,7350.0,534.0
1,0.0,8.0,0.0,2.0,1.0,1.0,0.0
2,0.0,3.0,0.0,1.0,0.0,0.0,0.0
3,4.0,4.0,0.0,1.0,2.0,1.0,0.0
4,6.0,12.0,6.0,13.0,5.0,5.0,0.0
5,11.0,21.0,9.0,32.0,7.0,17.0,1.0
6,33.0,18.0,21.0,34.0,27.0,74.0,0.0
7,43.0,36.0,27.0,80.0,54.0,197.0,1.0
8,186.0,166.0,135.0,285.0,227.0,294.0,7.0
9,2203.0,1730.0,1509.0,2586.0,2954.0,491.0,41.0
10,16619.0,8961.0,10612.0,30916.0,19039.0,2403.0,767.0
11,256529.0,49897.0,164366.0,221941.0,266488.0,19975.0,4143.0
12,10515.0,2222.0,11300.0,9792.0,10144.0,14926.0,334.0
13,758.0,311.0,1036.0,1311.0,649.0,3777.0,23.0
14,108.0,65.0,121.0,321.0,86.0,1193.0,4.0
15,25.0,23.0,27.0,134.0,23.0,712.0,0.0
16,5.0,29.0,12.0,108.0,11.0,442.0,0.0
17,2.0,147.0,9.0,434.0,4.0,282.0,1.0
18,2.0,134.0,10.0,371.0,1.0,191.0,1.0
19,3.0,46.0,3.0,225.0,1.0,113.0,1.0
20,1.0,9.0,2.0,127.0,1.0,71.0,0.0
21,2.0,6.0,2.0,106.0,2.0,50.0,0.0
22,0.0,5.0,2.0,85.0,3.0,42.0,1.0
23,1.0,4.0,2.0,63.0,0.0,18.0,0.0
24,0.0,3.0,0.0,72.0,3.0,25.0,1.0
25,12.0,3.0,7.0,76.0,4.0,7.0,2.0
26,54.0,3.0,26.0,117.0,34.0,11.0,0.0
27,13.0,1.0,5.0,74.0,7.0,7.0,0.0
28,5.0,1.0,4.0,32.0,1.0,3.0,1.0
29,5.0,4.0,3.0,22.0,4.0,6.0,1.0
30,6.0,5.0,5.0,4.0,8.0,2.0,2.0
31,4.0,1.0,3.0,7.0,6.0,5.0,1.0
