,WT,A5,A10
0,0.003501767558863045,0.006560803712134478,0.004908091271620378
1,0.000619360248506389,0.0013187270180353703,0.0012270228179050945
2,0.00042402355474668163,0.0010560759936963755,0.0006607045942565894
3,0.0008766329671167351,0.0020738487130099806,0.0013921989664692417
4,0.00040973062593499575,0.08042593241113641,0.0008730739281247788
5,0.00024297978979866028,0.0014172211521624935,0.0003775454824323368
6,0.0006598568801394989,0.0017455349325862372,0.0007314943722126525
7,0.00029300504063956093,0.0017619506216074244,0.0005191250383444631
8,0.00024059763499671263,0.0024842409385396605,0.0003539488897803157
9,0.0007742003106329862,0.0033269129749606023,0.0008022841501687157
10,0.0005478956044479594,0.0027797233409210297,0.0026664149696783786
11,0.0017675588630451562,0.005220189108737524,0.0028787843035465678
